session_id,user_id,duration,interactions,completion_rate,score,timestamp
session_001038,user_022,9.584394837025231,13.798288127093148,0.1014276896858348,94.744068273322,2024-01-01 00:19:00
session_000210,user_088,25.41327539948338,8.519979772793455,0.21244637998145943,76.00553693002892,2024-01-01 09:18:00
session_000426,user_089,12.520761442143765,9.831744098382138,0.10432752695883844,68.95626062789367,2024-01-01 09:46:00
session_000159,user_071,94.76059062553087,47.75499917153826,0.3711726203264373,98.65359568093665,2024-01-01 10:49:00
session_000363,user_059,35.57270464169147,23.09243485695587,0.2725262972069911,80.1940438927175,2024-01-01 13:28:00
session_000196,user_038,28.32269315582996,14.457768220984432,0.14639822565627475,69.45771300445776,2024-01-01 16:59:00
session_000749,user_035,12.603092854309285,8.357427529670176,0.08907899456470066,89.90052861862308,2024-01-01 19:22:00
session_000401,user_045,41.848273506205445,21.27352352157848,0.40145752568624965,100.0,2024-01-01 21:55:00
session_001335,user_028,31.34364067633263,21.30380068069819,0.3195685380883821,100.0,2024-01-01 23:05:00
session_001023,user_009,35.046668267164094,26.179326960204694,0.25839552194368626,87.41789399037583,2024-01-01 23:13:00
session_000013,user_022,87.99308657508364,36.94010424251389,0.43330510332326855,100.0,2024-01-02 05:44:00
session_000600,user_018,53.40549896935542,25.653657096806608,0.45289213929759004,89.60048304341652,2024-01-02 05:55:00
session_000620,user_039,26.349208973427388,14.306145474066097,0.20273373517524793,87.51798951823848,2024-01-02 06:19:00
session_000255,user_069,9.789557734081187,5.107251450275455,0.09946838608379945,94.47300034993324,2024-01-02 11:19:00
session_001456,user_055,51.69690144619652,28.72746798656351,0.48721243860694596,100.0,2024-01-02 13:01:00
session_001115,user_032,18.454230984036425,13.147235485551812,0.12264099839246681,88.30994702282554,2024-01-02 13:08:00
beneficial_session_000136,user_032,18.521475062838675,28.442651125545762,0.2219965810453218,100.0,2024-01-02 13:08:00
session_000885,user_084,20.904363594065963,7.843278673933823,0.26590094500392647,99.95612594177402,2024-01-03 03:27:00
session_000991,user_009,79.46968678234312,39.428048465389246,0.6572432559204534,93.02052213463291,2024-01-03 08:41:00
session_001459,user_035,88.95073343385994,32.081368511197695,0.5653521945200539,81.86261262930108,2024-01-03 10:00:00
session_001449,user_080,52.99959342013814,22.14143860439746,0.44394048887546794,92.45269843043776,2024-01-03 11:12:00
session_000471,user_091,23.655164197822515,8.687211092568708,0.15062086026676794,77.73369769839577,2024-01-03 14:57:00
session_000483,user_024,46.629446027331326,23.652421021177815,0.10124628290698888,94.08007062486472,2024-01-03 18:55:00
session_000057,user_093,15.835073795511756,11.916805432288497,0.1088764169213129,61.829801761097755,2024-01-03 21:46:00
session_000147,user_028,60.658221246494165,31.241558565379854,0.6719600079205934,99.7854311844506,2024-01-03 21:52:00
beneficial_session_000109,user_028,60.4385844879927,59.88124243472209,0.9468677121408655,100.0,2024-01-03 21:52:00
session_001362,user_004,40.18398173176284,20.23235175898258,0.39025815886799053,99.38832339026625,2024-01-03 22:21:00
session_001124,user_028,60.830810885115646,16.981637994562274,0.5027586151856951,99.17414865912086,2024-01-04 00:33:00
session_000110,user_091,17.836844492258965,9.318284469089285,0.16032875260544158,100.0,2024-01-04 02:59:00
session_001086,user_067,26.19308761766677,13.923052646013048,0.2783488734902602,58.00509823448157,2024-01-04 06:59:00
session_001435,user_033,101.64846502348237,49.71589399243483,0.6030879079919468,99.760108851813,2024-01-04 07:02:00
beneficial_session_000082,user_071,68.67881122961566,47.83553831693478,0.5913054185165552,99.1105190323684,2024-01-04 18:18:00
session_000343,user_071,67.27100090254723,27.009886874057404,0.35473416384543444,81.70529258421394,2024-01-04 18:18:00
session_000338,user_092,130.522501164975,52.121598751011774,0.47990906292937985,99.74285601602821,2024-01-04 22:34:00
beneficial_session_000227,user_092,132.94503547108502,91.23365004004532,0.629026879795915,99.46668576281195,2024-01-04 22:34:00
beneficial_session_000351,user_075,14.080737898690856,11.4319744434246,0.21908703505444094,91.8755980026254,2024-01-05 07:13:00
session_001046,user_075,11.890526993502224,2.438454989445594,0.12582283425941782,66.55597204944544,2024-01-05 07:13:00
session_001100,user_099,33.99385997716306,22.615828256516245,0.19880777923516846,100.0,2024-01-05 08:35:00
beneficial_session_000184,user_099,31.93624919763011,45.003979670372445,0.38081080570130926,98.93276269418293,2024-01-05 08:35:00
session_000910,user_056,32.30517841531559,13.499002026266927,0.3229351613623072,83.50783001960222,2024-01-05 11:21:00
session_000758,user_016,64.01558386369673,31.390809429026312,0.27208977802415507,93.35352732905098,2024-01-05 11:50:00
session_001126,user_086,54.67129743488637,14.55683397382732,0.3451241683474931,95.49076792685679,2024-01-05 16:52:00
session_000634,user_032,12.619867231666321,11.924941819595622,0.15711090429004287,68.73811866178212,2024-01-06 10:10:00
session_000755,user_023,25.375406054151533,16.084441036844087,0.10408638605665287,65.8260790859381,2024-01-06 12:55:00
session_000278,user_011,52.57007477003641,23.08283869479829,0.49145468750805155,100.0,2024-01-06 19:09:00
session_001182,user_086,48.7581099896332,14.151192851584131,0.7938305856292255,98.4855594620027,2024-01-07 02:22:00
session_000547,user_044,46.862178990059206,16.949531404634715,0.5731184418475566,79.77281622907725,2024-01-07 04:00:00
session_001242,user_016,4.2180016986512925,10.166471754888756,0.09518263079935863,75.24282210186301,2024-01-07 15:06:00
session_000183,user_035,60.77861033230487,16.93915946512189,0.20103560085923614,80.38447410424808,2024-01-07 21:12:00
session_000808,user_043,28.460370957836393,9.674824673677497,0.16733099270240115,85.84599809663969,2024-01-07 23:11:00
beneficial_session_000160,user_043,25.75400028955256,31.556834429010586,0.3078328676133771,99.97024889807047,2024-01-07 23:11:00
beneficial_session_000106,user_035,24.08002010830219,37.24753890394038,0.3534086094001208,100.0,2024-01-08 01:20:00
session_000459,user_035,24.20744183900851,20.049638800298627,0.17039127542950644,88.84644911673699,2024-01-08 01:20:00
session_000852,user_015,64.75324946944252,31.221456967720197,0.31817735734758035,81.44428061309621,2024-01-08 02:02:00
session_000188,user_057,32.174348644625844,19.686990971409607,0.2951300158912402,87.42845530712509,2024-01-08 03:56:00
session_000277,user_044,84.63396351830225,41.16827139886156,0.26855044542932416,99.50392522613913,2024-01-08 07:12:00
beneficial_session_000369,user_010,32.01947950531966,34.46645812870221,0.20131516638274968,57.20806739719161,2024-01-08 07:18:00
session_001297,user_010,34.84925940673326,19.477637121053764,0.09788834343002505,37.565834655317644,2024-01-08 07:18:00
session_000731,user_072,36.18548765982711,17.820718084497585,0.3251736149143787,81.49853762257324,2024-01-08 10:59:00
beneficial_session_000057,user_072,35.82497641061997,37.6187000665903,0.48851012699643487,100.0,2024-01-08 10:59:00
session_000260,user_035,43.40124422528324,15.248051058189446,0.48033285468038994,100.0,2024-01-08 12:21:00
beneficial_session_000020,user_011,50.655093160481854,30.9963847870993,0.835923126791073,97.8121233980995,2024-01-08 15:54:00
session_000309,user_011,53.07853525337238,12.506417259781763,0.5998279738573449,91.56362795959927,2024-01-08 15:54:00
session_000410,user_024,45.162644076939245,21.04123429964647,0.15911418228425708,71.46163841503994,2024-01-08 20:38:00
session_001261,user_030,79.23839314196742,35.267007654836156,0.4352360429239523,90.80126602298066,2024-01-08 23:39:00
beneficial_session_000409,user_030,52.82456190511333,47.41646656146792,0.3402007726108141,98.51809112406852,2024-01-09 08:14:00
